version,seed,participants,backend,strategy,window,dropout,observed,completion,spread,entropy,effective_set,k,auc,fpr,fnr,trace_hash
1,7,10,TransparentRegistry,FixedSlot,20,0.35,8,0.8,0,2.0794415416798357,7.999999999999998,1,0.8,0.8,0,2000a487b4b1a2c3fd94552f5de5ffcd5f3990d9dd1ad0a442e768188cae5810
1,8,100,MerkleCohort,NarrowWindow,4,0.05,97,0.97,3,4.574710978503382,96.99999999999991,1,0.4421768707482993,0.1836734693877551,0.8958333333333334,8292f05d175ed3bfc0cd70d3e1af18da3bc0bfa2fd6062c88c354bdebf934893
1,9,1000,TransparentRegistry,RandomizedWithinWindow,4,0.05,955,0.955,4,6.59094217665975,728.4668911737282,1,0.4047516710233154,0.21085594989561587,0.8634453781512605,81732d39eedd070b9d6636fb1eb04048fba0912ce57cdc30e62aa694e9ccc197
1,45,10,MerkleCohort,LatencyAware,20,0.05,9,0.9,2,2.1972245773362196,9.000000000000002,1,0.55,0,1,6b95343f52f89b9d42b9d767bacd957edf6a6eb4d35e182deb37f10648c70aac
1,46,100,TransparentRegistry,FixedSlot,4,0.05,93,0.93,0,4.532599493153259,93.00000000000028,1,0.3732654949121184,0.5957446808510638,0.5434782608695652,abc997720ae206b71281e4afc3e4fe66830ff21af533b0faa87aa10e3ce48ec6
1,47,1000,MerkleCohort,NarrowWindow,4,0.35,679,0.679,3,6.368766884750655,583.3380621448698,1,0.4315456044432873,0.24251497005988024,0.8521739130434782,4729d2374362b09fbbeb7805f9cd4c47c65134f003818d9e9a5d86285bf5ec6a
1,105,10,TransparentRegistry,RandomizedWithinWindow,20,0.05,10,1,19,2.3025850929940455,9.999999999999998,1,0.44,0,0.8,e3795c044c0c1c6c5d832ef5ed489b5311b7eca2dd637d867288d905f1ed5435
1,106,100,MerkleCohort,LatencyAware,4,0.05,91,0.91,2,4.510859506516846,90.99999999999964,1,0.4420289855072464,0.17777777777777778,0.8913043478260869,9fff7fd4eebdfb8caf07e511978616cf23f4940e0fa3dc585b593a3e9167259f
1,107,1000,TransparentRegistry,FixedSlot,4,0.05,961,0.961,0,6.009691647342628,407.3576910793035,1,0.3974488911988912,0.575,0.5322245322245323,18882e15feb31dfb6c461fc7d2edefc6d6176a0494efc648092e44c76dc4a884
1,16,10,MerkleCohort,NarrowWindow,20,0.05,9,0.9,3,2.1972245773362196,9.000000000000002,1,0.55,0,1,1d1964b18768fc7c46c4f05c364ba4abfe49401de565a71f35c9ee42b6ea28e7
1,17,100,TransparentRegistry,RandomizedWithinWindow,4,0.35,70,0.7,4,4.248495242049361,70.00000000000016,1,0.5698924731182796,0.10256410256410256,0.8709677419354839,33e8fafbf525b31c37f7b2ba6438ba53cd1f485e4c179a83fa7ff4849916bf58
1,18,1000,MerkleCohort,LatencyAware,4,0.05,959,0.959,2,6.57726768779921,718.5732780047389,1,0.4025940134137112,0.18658280922431866,0.8838174273858921,1bfa55437940ee3f2d34a45c913093daa72b540b7037abe5169519f9bd9e801b
1,54,10,TransparentRegistry,FixedSlot,20,0.05,9,0.9,0,2.1972245773362196,9.000000000000002,1,0.45,0.75,0.4,5c5f34616b18c22c81a7735a981231ff8fe88be3a9fb8da057d443a341e033d2
1,55,100,MerkleCohort,NarrowWindow,4,0.05,98,0.98,3,4.584967478670565,97.99999999999935,1,0.4660558100791337,0.22448979591836735,0.8163265306122449,d117c0e1b501dd9959a00ba9fd41fcd731d880b95f76bf1a2179a45046ec20f5
1,56,1000,TransparentRegistry,RandomizedWithinWindow,4,0.05,954,0.954,4,6.583441945067682,723.0236590502419,1,0.41890923794329515,0.20335429769392033,0.8490566037735849,891138d5652d097baa74f777b6b43f7de2ecd85e84a2ff329b85af5bc89528c1
1,114,10,MerkleCohort,LatencyAware,20,0.35,7,0.7,2,1.945910149055313,6.999999999999998,1,0.5833333333333334,0,1,cd3f44c02bd2f4b91aff695c8a912f902f4fac0a4abdc6743d7127c62cdeefbc
1,115,100,TransparentRegistry,FixedSlot,4,0.05,90,0.9,0,4.499809670330272,90.00000000000064,1,0.41106719367588934,0.5652173913043478,0.5,57795591168b106605890a2b5c4048c1433087cdbe4b618d5b0a7bcd18764894
1,116,1000,MerkleCohort,NarrowWindow,4,0.05,949,0.949,3,6.633339415093707,760.0159463454222,1,0.4026419351686521,0.2489539748953975,0.8492569002123143,0ba40fe21f6c142e66780795effdc38d246bda54ade11ed1360cc3bb73d70cb3
1,25,10,TransparentRegistry,RandomizedWithinWindow,20,0.05,9,0.9,17,2.1972245773362196,9.000000000000002,1,0.7,0.2,1,16b51d90d64bfb035812bfe1c678887cab362db2ec68e1f7683f54233bc58ff6
1,26,100,MerkleCohort,LatencyAware,4,0.05,96,0.96,2,4.5643481914678405,96.00000000000041,1,0.42478260869565215,0.13043478260869565,0.88,2a17f0f2f62c71303d527e43afce71f6175c3afb5ae7045f3af175c9c9b3bc3a
1,27,1000,TransparentRegistry,FixedSlot,4,0.35,653,0.653,0,5.862224422226188,351.50517094591174,1,0.40390066262459406,0.562874251497006,0.5454545454545454,5caa53a9a3a733f0e049e8a589a879b14d0562fd49352686625d71d1c4706f38
1,63,10,MerkleCohort,NarrowWindow,20,0.05,10,1,3,2.3025850929940455,9.999999999999998,1,0.56,0,1,08d90c1794452d9ce061a16c4cb2b08c973252485cdd41665dbedcca092510bc
1,64,100,TransparentRegistry,RandomizedWithinWindow,4,0.05,96,0.96,4,4.5643481914678405,96.00000000000041,1,0.3932291666666667,0.22916666666666666,0.8958333333333334,7610648eafafa7095248c6949ea77228cefe7067977ddff246ec6bd86a257c53
1,65,1000,MerkleCohort,LatencyAware,4,0.05,953,0.953,2,6.593739591924834,730.507568555453,1,0.41656316341181965,0.19198312236286919,0.8851774530271399,dab45acfee71baf3eff66d6e61601a1f8252062f33bdc2cf8b0a8a9ef9a88726
1,123,10,TransparentRegistry,FixedSlot,20,0.05,9,0.9,0,2.1972245773362196,9.000000000000002,1,0.5,1,0.4,875467e5a466ffdb2c241cc9586d511805ae48e7553701875f4fb06718dc392d
1,124,100,MerkleCohort,NarrowWindow,4,0.35,62,0.62,3,4.127134385045088,61.99999999999979,1,0.4328042328042328,0.22857142857142856,0.8518518518518519,8d81f6d76c3a01e97ed98eddae98838c2fbb1ecd1aa09daf82afafc932658c90
1,125,1000,TransparentRegistry,RandomizedWithinWindow,4,0.05,955,0.955,4,6.606169966982664,739.6447230927184,1,0.397050051753478,0.2184873949579832,0.8559498956158664,322f4f20b67a2fd574b4dab97e73622af700f406fe3c7163b6e0496820397fcf
1,34,10,MerkleCohort,LatencyAware,20,0.05,9,0.9,2,2.1972245773362196,9.000000000000002,1,0.5,0,0.8,31ea30935c4cb0b5bb3dc2f2c66ab4637b9f1e9cd5f28075f58348f82c6650b6
1,35,100,TransparentRegistry,FixedSlot,4,0.05,95,0.95,0,4.553876891600548,95.00000000000067,1,0.37045252883762203,0.5434782608695652,0.5306122448979592,44ec3028f9dc0bfe0eaa57f7f2d7eb281babadbb308135f9b063cbfd77ce0d08
1,36,1000,MerkleCohort,NarrowWindow,4,0.05,944,0.944,3,6.616600842538768,747.4002432693105,1,0.4192560666262599,0.2546972860125261,0.8451612903225807,58aa3eebc548eb1b216ecdef547b32c1a0c5ab3bbd9d3dbc0369d18eb4dfc2b8
1,72,10,TransparentRegistry,RandomizedWithinWindow,20,0.35,8,0.8,14,2.0794415416798357,7.999999999999998,1,0.2,0,1,30964d4328f829f4d6124fe9b07795240f3cf4712902919653b843b7f0a298b9
1,73,100,MerkleCohort,LatencyAware,4,0.05,93,0.93,2,4.532599493153259,93.00000000000028,1,0.37049028677150786,0.17391304347826086,0.9148936170212766,45e0c8f694aa3488a3783b400c01454e51983b16ee51608b8a42c23d558f0a28
1,74,1000,TransparentRegistry,FixedSlot,4,0.05,954,0.954,0,6.008449121321136,406.85185287172953,1,0.39298853252341626,0.5675675675675675,0.5602536997885835,d42003bc38824583286bdd416523405389e5939d44c932364d47f3525ceca0fe
1,132,10,MerkleCohort,NarrowWindow,20,0.05,10,1,3,2.3025850929940455,9.999999999999998,1,0.68,0,0.8,e15b3c5c4184ba9ba8b834405bd7f1d1185072645f462d7182b7ea067414edc4
1,133,100,TransparentRegistry,RandomizedWithinWindow,4,0.05,94,0.94,4,4.543294782270009,94.0000000000005,1,0.45018115942028986,0.17391304347826086,0.8958333333333334,3211455e906b77490cd3c454bad932ef8e960d1cfc4f085ec1e44b6464e40c50
1,134,1000,MerkleCohort,LatencyAware,4,0.35,653,0.653,2,6.263151445980932,524.8704372691616,1,0.4233839161627164,0.18037974683544303,0.8961424332344213,a6d1f521bcbb5c2c9b48e942cf950174f8c2f719171c32ad86fe6a22bf0b0baf
1,43,10,TransparentRegistry,FixedSlot,20,0.05,10,1,0,2.3025850929940455,9.999999999999998,1,0.32,0.6,0.6,5a70698673742986c2ddc1958e5ff1a90f95f141826921b408e5cf4588b07cf2
1,44,100,MerkleCohort,NarrowWindow,4,0.05,96,0.96,3,4.5643481914678405,96.00000000000041,1,0.35649153278332607,0.19148936170212766,0.8163265306122449,cce905e8b5469cc61e937b68cc72a0017f4cad566edadabffba20e711022a183
1,45,1000,TransparentRegistry,RandomizedWithinWindow,4,0.05,950,0.95,4,6.589167750606582,727.1754266861334,1,0.4003076118417262,0.2254697286012526,0.8874734607218684,8df70dedb2ca80c1d772faf2185422b90b003088bd44b67e0fb7811d9231c7cf
1,81,10,MerkleCohort,LatencyAware,20,0.05,10,1,2,2.3025850929940455,9.999999999999998,1,0.4,0,1,14625845a1bf01a32d6eeae34ae21708f6691f347ad26ec316c7ca72b0ad51bb
1,82,100,TransparentRegistry,FixedSlot,4,0.35,59,0.59,0,4.077537443905717,58.99999999999986,1,0.4125874125874126,0.48484848484848486,0.5769230769230769,84aba551f6cecda3320e7a07b107ea391fcb0846c168c1b5675d6b0cdb6fd211
1,83,1000,MerkleCohort,NarrowWindow,4,0.05,950,0.95,3,6.619125316399311,749.2894192311694,1,0.4123510743918871,0.2489539748953975,0.836864406779661,a3b94504bebe4c55feae893bae439f0cbb21df49f1aa41e3368c07a5bf0f010d
1,141,10,TransparentRegistry,RandomizedWithinWindow,20,0.05,10,1,16,2.3025850929940455,9.999999999999998,1,0.6,0,0.8,51a8658117872cc14d99f422fac254b5480640c9b452b72c86ae27e2b1630d43
1,142,100,MerkleCohort,LatencyAware,4,0.05,99,0.99,2,4.595119850134586,98.99999999999963,1,0.4,0.24489795918367346,0.88,6c594c4742d1f563412288fc43d648373855510d0866d5a5e7d8aeceb6a52578
1,143,1000,TransparentRegistry,FixedSlot,4,0.05,958,0.958,0,6.00786380206853,406.61378432913295,1,0.39188023012552303,0.5794979079497908,0.54375,06c800a5b274f0f8b8e500ab4021f8b864d8bce3679a52ffd1d0b81d1db9f1a7
1,52,10,MerkleCohort,NarrowWindow,20,0.35,5,0.5,1,1.6094379124341005,5.000000000000001,1,0.5,0,1,57f56e105c32cabe45430d4c795e9652718d3cbe44e97cc004a8e76f087c61ef
1,53,100,TransparentRegistry,RandomizedWithinWindow,4,0.05,95,0.95,4,4.553876891600548,95.00000000000067,1,0.435226264418811,0.16326530612244897,0.8478260869565217,fdb594ae75b7b3f6b1e6ee0ba541721f51678a931859015378517939ba652864
